image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
3.10.2020-12.27.20.jpg,--,446,0,1023,680,4,0.538945556,1024,680
3.10.2020-12.27.20.jpg,--,446,0,1023,680,2,0.538945556,1024,680
3.10.2020-12.27.32.jpg,--,446,0,1023,680,2,0.289894998,1024,680
3.10.2020-12.27.40.jpg,--,643,62,759,214,2,0.72295773,1024,680
3.10.2020-12.27.48.jpg,--,34,122,584,237,5,0.415339619,620,349
3.10.2020-12.27.55.jpg,--,0,110,1080,675,3,0.524510682,1080,675
3.10.2020-12.28.7.jpg,--,0,110,1080,675,2,0.254325598,1080,675
3.10.2020-12.28.25.jpg,--,0,143,1231,795,5,0.280839056,1300,956
3.10.2020-12.28.35.jpg,--,281,222,1030,732,5,0.573741734,1300,956
3.10.2020-12.28.49.jpg,--,281,222,1030,732,2,0.314220935,1300,956
3.10.2020-12.29.14.jpg,--,0,143,1231,795,2,0.465309083,1300,956
